DateFrom,DateTo,Value
1992.06.25,1992.11.15,30
1992.11.16,1993.02.28,80
1993.03.01,1993.04.30,100
1993.05.01,1994.06.30,240
1994.07.01,1994.07.31,190
1994.08.01,1994.08.14,175
1994.08.15,1994.10.24,140
1994.10.25,1994.12.11,300
1994.12.12,1995.03.09,252
1995.03.10,1995.03.28,204
1995.03.29,1995.04.06,170
1995.04.07,1995.04.30,150
1995.05.01,1995.06.06,96
1995.06.07,1995.07.14,75
1995.07.15,1995.08.20,60
1995.08.21,1995.10.09,70
1995.10.10,1995.11.30,95
1995.12.01,1995.12.31,110
1996.01.01,1996.03.03,105
1996.03.04,1996.03.25,98
1996.03.26,1996.03.31,90
1996.04.01,1996.04.07,85
1996.04.08,1996.04.24,75
1996.04.25,1996.05.21,70
1996.05.22,1996.06.06,63
1996.06.07,1996.07.01,50
1996.07.02,1997.01.09,40
1997.01.10,1997.03.07,35
1997.03.08,1997.05.25,25
1997.05.26,1997.07.07,21
1997.07.08,1997.08.04,18
1997.08.05,1997.10.31,16
1997.11.01,1997.11.14,17
1997.11.15,1997.11.23,25
1997.11.24,1998.02.05,35
1998.02.06,1998.03.17,44
1998.03.18,1998.05.20,41
1998.05.21,1998.05.28,45
1998.05.29,1998.07.06,51
1998.07.07,1998.12.20,82
1998.12.21,1999.04.04,60
1999.04.04,1999.04.27,57
1999.04.28,1999.05.23,50
1999.05.24,2000.01.31,45
2000.01.01,2000.01.31,45
2000.02.01,2000.03.23,35
2000.03.24,2000.04.09,32
2000.04.10,2000.08.14,29
2000.08.15,2001.03.09,27
2001.03.10,2001.04.06,25
2001.04.07,2001.06.10,21
2001.06.11,2001.08.08,19
2001.08.09,2001.09.09,17
2001.09.10,2001.12.09,15
2001.12.10,2002.03.10,12.5
2002.03.11,2002.04.03,11.5
2002.04.04,2002.07.04,10
2002.07.05,2002.12.04,8
2002.12.05,2004.06.08,7
2004.06.09,2004.10.06,7.5
2004.10.07,2004.11.08,8
2004.11.09,2005.08.09,9
2005.08.10,2006.06.09,9.5
2006.06.10,2007.05.31,8.5
2007.06.01,2007.12.31,8
2008.02.01,2008.04.29,10
2008.04.30,2009.06.14,12
2009.06.15,2009.08.11,11
2009.08.11,2010.06.07,10.25
2010.06.08,2010.07.07,9.5
2010.07.08,2010.08.09,8.5
2010.08.10,2012.03.22,7.75
2012.03.23,2013.06.09,7.5
2013.06.10,2013.08.12,7
2013.08.13,2014.04.14,6.5
2014.04.15,2014.07.16,9.5
2014.07.17,2014.11.12,12.5
2014.11.13,2015.02.05,14
2015.02.06,2015.03.03,19.5
2015.03.04,2015.08.27,30
2015.08.28,2015.09.24,27
2015.09.25,2016.04.21,22
2016.04.22,2016.05.26,19
2016.05.27,2016.06.23,18
2016.06.24,2016.07.28,16.5
2016.07.29,2016.09.15,15.5
2016.09.16,2016.10.27,15
2016.10.28,2017.04.13,14
2017.04.14,2017.05.25,13
2017.05.26,2017.10.26,12.5
2017.10.27,2017.12.14,13.5
2017.12.15,2018.01.25,14.5
2018.01.26,2018.03.01,16
2018.03.02,2018.07.12,17
2018.07.13,2018.09.06,17.5
2018.09.07,2019.04.25,18
2019.04.26,2019.06.06,17.5
2019.06.07,2019.09.05,17
2019.09.06,2019.10.24,16.5
2019.10.25,2019.12.12,15.5
2019.12.13,2020.01.15,13.5